DateKey,FullDate,Year,Quarter,Month,DayOfWeek,WeekOfYear
1,2024-01-01,2024,1,1,Monday,1
2,2024-01-02,2024,1,1,Tuesday,1
3,2024-01-03,2024,1,1,Wednesday,1
4,2024-01-04,2024,1,1,Thursday,1
5,2024-01-05,2024,1,1,Friday,1
6,2024-01-06,2024,1,1,Saturday,1
7,2024-01-07,2024,1,1,Sunday,1
8,2024-01-08,2024,1,1,Monday,2
9,2024-01-09,2024,1,1,Tuesday,2
10,2024-01-10,2024,1,1,Wednesday,2
11,2024-01-11,2024,1,1,Thursday,2
12,2024-01-12,2024,1,1,Friday,2
13,2024-01-13,2024,1,1,Saturday,2
14,2024-01-14,2024,1,1,Sunday,2
15,2024-01-15,2024,1,1,Monday,3
16,2024-01-16,2024,1,1,Tuesday,3
17,2024-01-17,2024,1,1,Wednesday,3
18,2024-01-18,2024,1,1,Thursday,3
19,2024-01-19,2024,1,1,Friday,3
20,2024-01-20,2024,1,1,Saturday,3
21,2024-01-21,2024,1,1,Sunday,3
22,2024-01-22,2024,1,1,Monday,4
23,2024-01-23,2024,1,1,Tuesday,4
24,2024-01-24,2024,1,1,Wednesday,4
25,2024-01-25,2024,1,1,Thursday,4
26,2024-01-26,2024,1,1,Friday,4
27,2024-01-27,2024,1,1,Saturday,4
28,2024-01-28,2024,1,1,Sunday,4
29,2024-01-29,2024,1,1,Monday,5
30,2024-01-30,2024,1,1,Tuesday,5
31,2024-01-31,2024,1,1,Wednesday,5
32,2024-02-01,2024,1,2,Thursday,5
33,2024-02-02,2024,1,2,Friday,5
34,2024-02-03,2024,1,2,Saturday,5
35,2024-02-04,2024,1,2,Sunday,5
36,2024-02-05,2024,1,2,Monday,6
37,2024-02-06,2024,1,2,Tuesday,6
38,2024-02-07,2024,1,2,Wednesday,6
39,2024-02-08,2024,1,2,Thursday,6
40,2024-02-09,2024,1,2,Friday,6
41,2024-02-10,2024,1,2,Saturday,6
42,2024-02-11,2024,1,2,Sunday,6
43,2024-02-12,2024,1,2,Monday,7
44,2024-02-13,2024,1,2,Tuesday,7
45,2024-02-14,2024,1,2,Wednesday,7
46,2024-02-15,2024,1,2,Thursday,7
47,2024-02-16,2024,1,2,Friday,7
48,2024-02-17,2024,1,2,Saturday,7
49,2024-02-18,2024,1,2,Sunday,7
50,2024-02-19,2024,1,2,Monday,8
51,2024-02-20,2024,1,2,Tuesday,8
52,2024-02-21,2024,1,2,Wednesday,8
53,2024-02-22,2024,1,2,Thursday,8
54,2024-02-23,2024,1,2,Friday,8
55,2024-02-24,2024,1,2,Saturday,8
56,2024-02-25,2024,1,2,Sunday,8
57,2024-02-26,2024,1,2,Monday,9
58,2024-02-27,2024,1,2,Tuesday,9
59,2024-02-28,2024,1,2,Wednesday,9
60,2024-02-29,2024,1,2,Thursday,9
61,2024-03-01,2024,1,3,Friday,9
62,2024-03-02,2024,1,3,Saturday,9
63,2024-03-03,2024,1,3,Sunday,9
64,2024-03-04,2024,1,3,Monday,10
65,2024-03-05,2024,1,3,Tuesday,10
66,2024-03-06,2024,1,3,Wednesday,10
67,2024-03-07,2024,1,3,Thursday,10
68,2024-03-08,2024,1,3,Friday,10
69,2024-03-09,2024,1,3,Saturday,10
70,2024-03-10,2024,1,3,Sunday,10
71,2024-03-11,2024,1,3,Monday,11
72,2024-03-12,2024,1,3,Tuesday,11
73,2024-03-13,2024,1,3,Wednesday,11
74,2024-03-14,2024,1,3,Thursday,11
75,2024-03-15,2024,1,3,Friday,11
76,2024-03-16,2024,1,3,Saturday,11
77,2024-03-17,2024,1,3,Sunday,11
78,2024-03-18,2024,1,3,Monday,12
79,2024-03-19,2024,1,3,Tuesday,12
80,2024-03-20,2024,1,3,Wednesday,12
81,2024-03-21,2024,1,3,Thursday,12
82,2024-03-22,2024,1,3,Friday,12
83,2024-03-23,2024,1,3,Saturday,12
84,2024-03-24,2024,1,3,Sunday,12
85,2024-03-25,2024,1,3,Monday,13
86,2024-03-26,2024,1,3,Tuesday,13
87,2024-03-27,2024,1,3,Wednesday,13
88,2024-03-28,2024,1,3,Thursday,13
89,2024-03-29,2024,1,3,Friday,13
90,2024-03-30,2024,1,3,Saturday,13
91,2024-03-31,2024,1,3,Sunday,13
92,2024-04-01,2024,2,4,Monday,14
93,2024-04-02,2024,2,4,Tuesday,14
94,2024-04-03,2024,2,4,Wednesday,14
95,2024-04-04,2024,2,4,Thursday,14
96,2024-04-05,2024,2,4,Friday,14
97,2024-04-06,2024,2,4,Saturday,14
98,2024-04-07,2024,2,4,Sunday,14
99,2024-04-08,2024,2,4,Monday,15
100,2024-04-09,2024,2,4,Tuesday,15
101,2024-04-10,2024,2,4,Wednesday,15
102,2024-04-11,2024,2,4,Thursday,15
103,2024-04-12,2024,2,4,Friday,15
104,2024-04-13,2024,2,4,Saturday,15
105,2024-04-14,2024,2,4,Sunday,15
106,2024-04-15,2024,2,4,Monday,16
107,2024-04-16,2024,2,4,Tuesday,16
108,2024-04-17,2024,2,4,Wednesday,16
109,2024-04-18,2024,2,4,Thursday,16
110,2024-04-19,2024,2,4,Friday,16
111,2024-04-20,2024,2,4,Saturday,16
112,2024-04-21,2024,2,4,Sunday,16
113,2024-04-22,2024,2,4,Monday,17
114,2024-04-23,2024,2,4,Tuesday,17
115,2024-04-24,2024,2,4,Wednesday,17
116,2024-04-25,2024,2,4,Thursday,17
117,2024-04-26,2024,2,4,Friday,17
118,2024-04-27,2024,2,4,Saturday,17
119,2024-04-28,2024,2,4,Sunday,17
120,2024-04-29,2024,2,4,Monday,18
121,2024-04-30,2024,2,4,Tuesday,18
122,2024-05-01,2024,2,5,Wednesday,18
123,2024-05-02,2024,2,5,Thursday,18
124,2024-05-03,2024,2,5,Friday,18
125,2024-05-04,2024,2,5,Saturday,18
126,2024-05-05,2024,2,5,Sunday,18
127,2024-05-06,2024,2,5,Monday,19
128,2024-05-07,2024,2,5,Tuesday,19
129,2024-05-08,2024,2,5,Wednesday,19
130,2024-05-09,2024,2,5,Thursday,19
131,2024-05-10,2024,2,5,Friday,19
132,2024-05-11,2024,2,5,Saturday,19
133,2024-05-12,2024,2,5,Sunday,19
134,2024-05-13,2024,2,5,Monday,20
135,2024-05-14,2024,2,5,Tuesday,20
136,2024-05-15,2024,2,5,Wednesday,20
137,2024-05-16,2024,2,5,Thursday,20
138,2024-05-17,2024,2,5,Friday,20
139,2024-05-18,2024,2,5,Saturday,20
140,2024-05-19,2024,2,5,Sunday,20
141,2024-05-20,2024,2,5,Monday,21
142,2024-05-21,2024,2,5,Tuesday,21
143,2024-05-22,2024,2,5,Wednesday,21
144,2024-05-23,2024,2,5,Thursday,21
145,2024-05-24,2024,2,5,Friday,21
146,2024-05-25,2024,2,5,Saturday,21
147,2024-05-26,2024,2,5,Sunday,21
148,2024-05-27,2024,2,5,Monday,22
149,2024-05-28,2024,2,5,Tuesday,22
150,2024-05-29,2024,2,5,Wednesday,22
151,2024-05-30,2024,2,5,Thursday,22
152,2024-05-31,2024,2,5,Friday,22
153,2024-06-01,2024,2,6,Saturday,22
154,2024-06-02,2024,2,6,Sunday,22
155,2024-06-03,2024,2,6,Monday,23
156,2024-06-04,2024,2,6,Tuesday,23
157,2024-06-05,2024,2,6,Wednesday,23
158,2024-06-06,2024,2,6,Thursday,23
159,2024-06-07,2024,2,6,Friday,23
160,2024-06-08,2024,2,6,Saturday,23
161,2024-06-09,2024,2,6,Sunday,23
162,2024-06-10,2024,2,6,Monday,24
163,2024-06-11,2024,2,6,Tuesday,24
164,2024-06-12,2024,2,6,Wednesday,24
165,2024-06-13,2024,2,6,Thursday,24
166,2024-06-14,2024,2,6,Friday,24
167,2024-06-15,2024,2,6,Saturday,24
168,2024-06-16,2024,2,6,Sunday,24
169,2024-06-17,2024,2,6,Monday,25
170,2024-06-18,2024,2,6,Tuesday,25
171,2024-06-19,2024,2,6,Wednesday,25
172,2024-06-20,2024,2,6,Thursday,25
173,2024-06-21,2024,2,6,Friday,25
174,2024-06-22,2024,2,6,Saturday,25
175,2024-06-23,2024,2,6,Sunday,25
176,2024-06-24,2024,2,6,Monday,26
177,2024-06-25,2024,2,6,Tuesday,26
178,2024-06-26,2024,2,6,Wednesday,26
179,2024-06-27,2024,2,6,Thursday,26
180,2024-06-28,2024,2,6,Friday,26
181,2024-06-29,2024,2,6,Saturday,26
182,2024-06-30,2024,2,6,Sunday,26
183,2024-07-01,2024,3,7,Monday,27
184,2024-07-02,2024,3,7,Tuesday,27
185,2024-07-03,2024,3,7,Wednesday,27
186,2024-07-04,2024,3,7,Thursday,27
187,2024-07-05,2024,3,7,Friday,27
188,2024-07-06,2024,3,7,Saturday,27
189,2024-07-07,2024,3,7,Sunday,27
190,2024-07-08,2024,3,7,Monday,28
191,2024-07-09,2024,3,7,Tuesday,28
192,2024-07-10,2024,3,7,Wednesday,28
193,2024-07-11,2024,3,7,Thursday,28
194,2024-07-12,2024,3,7,Friday,28
195,2024-07-13,2024,3,7,Saturday,28
196,2024-07-14,2024,3,7,Sunday,28
197,2024-07-15,2024,3,7,Monday,29
198,2024-07-16,2024,3,7,Tuesday,29
199,2024-07-17,2024,3,7,Wednesday,29
200,2024-07-18,2024,3,7,Thursday,29
201,2024-07-19,2024,3,7,Friday,29
202,2024-07-20,2024,3,7,Saturday,29
203,2024-07-21,2024,3,7,Sunday,29
204,2024-07-22,2024,3,7,Monday,30
205,2024-07-23,2024,3,7,Tuesday,30
206,2024-07-24,2024,3,7,Wednesday,30
207,2024-07-25,2024,3,7,Thursday,30
208,2024-07-26,2024,3,7,Friday,30
209,2024-07-27,2024,3,7,Saturday,30
210,2024-07-28,2024,3,7,Sunday,30
211,2024-07-29,2024,3,7,Monday,31
212,2024-07-30,2024,3,7,Tuesday,31
213,2024-07-31,2024,3,7,Wednesday,31
214,2024-08-01,2024,3,8,Thursday,31
215,2024-08-02,2024,3,8,Friday,31
216,2024-08-03,2024,3,8,Saturday,31
217,2024-08-04,2024,3,8,Sunday,31
218,2024-08-05,2024,3,8,Monday,32
219,2024-08-06,2024,3,8,Tuesday,32
220,2024-08-07,2024,3,8,Wednesday,32
221,2024-08-08,2024,3,8,Thursday,32
222,2024-08-09,2024,3,8,Friday,32
223,2024-08-10,2024,3,8,Saturday,32
224,2024-08-11,2024,3,8,Sunday,32
225,2024-08-12,2024,3,8,Monday,33
226,2024-08-13,2024,3,8,Tuesday,33
227,2024-08-14,2024,3,8,Wednesday,33
228,2024-08-15,2024,3,8,Thursday,33
229,2024-08-16,2024,3,8,Friday,33
230,2024-08-17,2024,3,8,Saturday,33
231,2024-08-18,2024,3,8,Sunday,33
232,2024-08-19,2024,3,8,Monday,34
233,2024-08-20,2024,3,8,Tuesday,34
234,2024-08-21,2024,3,8,Wednesday,34
235,2024-08-22,2024,3,8,Thursday,34
236,2024-08-23,2024,3,8,Friday,34
237,2024-08-24,2024,3,8,Saturday,34
238,2024-08-25,2024,3,8,Sunday,34
239,2024-08-26,2024,3,8,Monday,35
240,2024-08-27,2024,3,8,Tuesday,35
